Country,Start,End,Wide
Albania,13/03/2020,01/06/2020,National
Argentina,19/03/2020,28/06/2020,National
Armenia,24/03/2020,04/05/2020,National
Australia,23/03/2020,,National
Austria,16/03/2020,13/04/2020,National
Azerbaijan,31/03/2020,20/04/2020,National
Bangladesh,26/03/2020,16/05/2020,National
Barbados,28/03/2020,03/05/2020,National
Belgium,18/03/2020,04/05/2020,National
Bermuda,04/04/2020,02/05/2020,National
Bolivia,22/03/2020,31/07/2020,National
Botswana,02/04/2020,30/04/2020,National
Colombia,25/03/2020,30/06/2020,National
Republic of the Congo,31/03/2020,20/04/2020,National
Costa Rica,23/03/2020,,National
Croatia,18/03/2020,19/04/2020,National
Czech Republic,16/03/2020,12/04/2020,National
Ecuador,16/03/2020,31/03/2020,National
El Salvador,12/03/2020,02/04/2020,National
Eritrea,02/04/2020,23/04/2020,National
France,17/03/2020,11/05/2020,National
Georgia,31/03/2020,21/04/2020,National
Germany,23/03/2020,20/04/2020,National
Greece,23/03/2020,04/05/2020,National
Guernsey,25/03/2020,,National
Honduras,20/03/2020,17/05/2020,National
Hungary,28/03/2020,10/04/2020,National
India,25/03/2020,30/06/2020,National
Iran,14/03/2020,20/04/2020,National
Iraq,22/03/2020,11/04/2020,National
Ireland,12/03/2020,18/05/2020,National
Italy,09/03/2020,18/05/2020,National
Jordan,18/03/2020,30/04/2020,National
Kosovo,14/03/2020,04/05/2020,National
Kuwait,14/03/2020,29/03/2020,National
Lebanon,15/03/2020,28/03/2020,National
Libya,22/03/2020,,National
Lithuania,16/03/2020,18/06/2020,National
Malaysia,18/03/2020,09/06/2020,National
Mexico,23/03/2020,01/06/2020,National
Mongolia,10/03/2020,16/03/2020,National
Morocco,19/03/2020,10/06/2020,National
Namibia,27/03/2020,04/05/2020,National
Nepal,24/03/2020,14/06/2020,National
New Zealand,26/03/2020,14/05/2020,National
Northern Cyprus,30/03/2020,,National
Pakistan,24/03/2020,09/05/2020,National
Panama,25/03/2020,,National
Papua New Guinea,24/03/2020,07/04/2020,National
Paraguay,20/03/2020,03/05/2020,National
Peru,16/03/2020,30/06/2020,National
Poland,13/03/2020,11/04/2020,National
Portugal,19/03/2020,02/04/2020,National
Romania,25/03/2020,12/05/2020,National
Russia,28/03/2020,30/04/2020,National
Rwanda,21/03/2020,19/04/2020,National
Samoa,26/03/2020,08/04/2020,National
San Marino,14/03/2020,05/05/2020,National
Serbia,15/03/2020,21/04/2020,National
Singapore,07/04/2020,01/06/2020,National
South Africa,26/03/2020,30/04/2020,National
Spain,14/03/2020,09/05/2020,National
SriLanka,18/03/2020,21/06/2020,National
Thailand,25/03/2020,31/05/2020,National
Trinidad and Tobago,17/03/2020,31/03/2020,National
Ukraine,17/03/2020,24/04/2020,National
United Arab Emirates,26/03/2020,17/04/2020,National
United Kingdom,23/03/2020,,National
Venezuela,17/03/2020,13/05/2020,National
Vietnam,01/04/2020,22/04/2020,National
Zimbabwe,30/03/2020,02/05/2020,National
